Company Name,Industry,Symbol,Series,ISIN Code,SEBI Sector,NSE Sectoral Index,Market Cap Category (SEBI),F&O Eligible,Listing Date (NSE),Delisting Status
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,Capital Goods,Nifty India Manufacturing,Small Cap,No,24-Apr-24,Active
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,Services,Nifty Services Sector,Mid Cap,Yes,21-Aug-06,Active
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-95,Active
Gallantt Ispat Ltd.,Capital Goods,GALLANTT,EQ,INE297H01019,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-06,Active
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Oct-15,Active
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,Insurance,Nifty Financial Services,Mid Cap,Yes,25-Oct-17,Active
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,FMCG,Nifty FMCG,Small Cap,No,01-Jan-95,Active
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,Pharmaceuticals,Nifty Pharma,Small Cap,No,20-Nov-20,Active
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,Pharmaceuticals,Nifty Pharma,Small Cap,No,01-Jan-94,Active
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,15-Oct-99,Active
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,Healthcare Services,Nifty Healthcare Index,Mid Cap,Yes,30-Nov-21,Active
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,Insurance,Nifty Financial Services,Small Cap,No,23-May-24,Active
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-04,Active
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,FMCG,Nifty FMCG,Small Cap,No,01-Jan-95,Active
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,FMCG,Nifty FMCG,Large Cap,Yes,21-Apr-01,Active
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,Diversified,Nifty 500,Mid Cap,Yes,01-Jan-95,Active
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,Real Estate,Nifty Realty,Large Cap,Yes,05-Jan-10,Active
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,19-Nov-05,Active
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-94,Active
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Construction Materials,Nifty Infrastructure,Large Cap,Yes,12-Sep-96,Active
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027,Metals & Mining,Nifty Metal,Small Cap,No,11-Jan-10,Active
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,Services,Nifty Services Sector,Small Cap,No,01-Jan-94,Active
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,Chemicals,Nifty Chemicals,Small Cap,No,25-Jan-21,Active
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,Metals & Mining,Nifty Metal,Small Cap,No,01-Jan-95,Active
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-94,Active
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,Capital Goods,Nifty India Manufacturing,Small Cap,No,14-Jan-23,Active
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,Information Technology,Nifty IT,Large Cap,Yes,06-Nov-99,Active
HDB Financial Services Ltd.,Financial Services,HDBFS,EQ,INE756I01012,Financial Services,Nifty Financial Services,Mid Cap,Yes,02-Jul-24,Active
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,Financial Services,Nifty Financial Services,Large Cap,Yes,06-Aug-18,Active
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,Banking,Nifty Bank,Large Cap,Yes,08-Nov-95,Active
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,Insurance,Nifty Financial Services,Large Cap,Yes,17-Nov-17,Active
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,Telecommunication,Nifty Services Sector,Small Cap,No,01-Jan-94,Active
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,Consumer Durables,Nifty Consumer Durables,Large Cap,Yes,14-Jun-01,Active
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,02-Aug-11,Active
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,Information Technology,Nifty IT,Small Cap,No,12-Feb-25,Active
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-95,Active
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,Metals & Mining,Nifty Metal,Large Cap,Yes,01-Jan-96,Active
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,28-Mar-18,Active
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,Metals & Mining,Nifty Metal,Large Cap,Yes,01-Apr-10,Active
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,02-Oct-95,Active
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,FMCG,Nifty FMCG,Large Cap,Yes,12-Sep-95,Active
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,Metals & Mining,Nifty Metal,Large Cap,Yes,22-Nov-02,Active
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,Capital Goods,Nifty India Manufacturing,Small Cap,No,15-Sep-23,Active
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,Financial Services,Nifty Financial Services,Mid Cap,No,03-Feb-21,Active
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,FMCG,Nifty FMCG,Small Cap,No,07-Nov-23,Active
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,Financial Services,Nifty Financial Services,Small Cap,No,19-May-17,Active
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,22-Oct-24,Active
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,Banking,Nifty Bank,Large Cap,Yes,17-Sep-98,Active
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,Insurance,Nifty Financial Services,Mid Cap,Yes,15-Sep-17,Active
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,EQ,INE346A01027,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Jan-22,Active
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,Insurance,Nifty Financial Services,Mid Cap,Yes,29-Sep-16,Active
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,Banking,Nifty Bank,Small Cap,No,01-Jan-96,Active
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,Banking,Nifty Bank,Mid Cap,Yes,30-Dec-18,Active
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-94,Active
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,Financial Services,Nifty Financial Services,Small Cap,No,27-May-05,Active
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,Construction,Nifty Infrastructure,Small Cap,No,24-Feb-08,Active
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,Construction,Nifty Infrastructure,Small Cap,No,28-Sep-18,Active
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,Consumer Services,Nifty India Consumption,Small Cap,No,28-Jan-25,Active
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,FMCG,Nifty FMCG,Large Cap,Yes,01-Jan-94,Active
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,Telecommunication,Nifty Services Sector,Small Cap,No,01-Jan-94,Active
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,Healthcare Services,Nifty Healthcare Index,Small Cap,No,01-Nov-23,Active
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,Construction Materials,Nifty Infrastructure,Small Cap,No,01-Jan-94,Active
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,Consumer Services,Nifty India Consumption,Mid Cap,Yes,04-Jul-19,Active
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,Banking,Nifty Bank,Small Cap,No,07-Mar-07,Active
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,Financial Services,Nifty Financial Services,Mid Cap,Yes,23-Oct-17,Active
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,Consumer Services,Nifty India Consumption,Large Cap,Yes,01-Jan-94,Active
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Mid Cap,Yes,28-Nov-00,Active
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,Banking,Nifty Bank,Small Cap,No,01-Jan-03,Active
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,Consumer Services,Nifty India Consumption,Mid Cap,Yes,14-Oct-19,Active
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,Financial Services,Nifty Financial Services,Large Cap,Yes,29-Jan-21,Active
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,Financial Services,Nifty Financial Services,Mid Cap,Yes,29-Nov-23,Active
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Mid Cap,Yes,26-Dec-03,Active
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,Telecommunication,Nifty Services Sector,Large Cap,Yes,19-Dec-19,Active
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,Banking,Nifty Bank,Large Cap,Yes,30-Jan-98,Active
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,Consumer Services,Nifty India Consumption,Large Cap,Yes,18-Nov-06,Active
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,Information Technology,Nifty IT,Large Cap,Yes,08-Jun-93,Active
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,Capital Goods,Nifty India Manufacturing,Small Cap,No,09-Apr-15,Active
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,Information Technology,Nifty IT,Small Cap,No,12-Dec-14,Active
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,Services,Nifty Services Sector,Large Cap,Yes,10-Nov-15,Active
International Gemological Institute Ltd.,Services,IGIL,EQ,INE0Q9301021,Services,Nifty Services Sector,Small Cap,No,19-Dec-24,Active
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,Information Technology,Nifty IT,Small Cap,No,19-Dec-24,Active
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,Pharmaceuticals,Nifty Pharma,Small Cap,No,01-Jan-95,Active
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,Pharmaceuticals,Nifty Pharma,Small Cap,No,22-Jun-18,Active
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,Construction Materials,Nifty Infrastructure,Mid Cap,Yes,11-Jun-04,Active
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,Automobiles & Auto Components,Nifty Auto,Small Cap,No,12-Mar-08,Active
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-94,Active
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,Financial Services,Nifty Financial Services,Small Cap,No,12-Sep-97,Active
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012,Construction Materials,Nifty Infrastructure,Small Cap,No,04-Jun-24,Active
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011,Consumer Durables,Nifty Consumer Durables,Small Cap,No,06-May-25,Active
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,Power,Nifty Energy,Large Cap,Yes,04-Jan-10,Active
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,Services,Nifty Services Sector,Mid Cap,Yes,03-Oct-23,Active
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,Metals & Mining,Nifty Metal,Large Cap,Yes,10-Nov-04,Active
Jain Resource Recycling Ltd.,Metals & Mining,JAINREC,EQ,INE0YD401026,Metals & Mining,Nifty Metal,Small Cap,No,23-Dec-24,Active
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,Power,Nifty Energy,Small Cap,No,01-Jan-06,Active
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,Banking,Nifty Bank,Small Cap,No,01-Jan-95,Active
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,Metals & Mining,Nifty Metal,Mid Cap,Yes,29-Nov-06,Active
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,Metals & Mining,Nifty Metal,Small Cap,No,07-Nov-06,Active
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,Financial Services,Nifty Financial Services,Large Cap,Yes,21-Aug-23,Active
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,Consumer Services,Nifty India Consumption,Mid Cap,Yes,08-Dec-09,Active
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,Chemicals,Nifty Chemicals,Small Cap,No,24-Nov-21,Active
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,Healthcare Services,Nifty Healthcare Index,Small Cap,No,01-Jan-95,Active
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,Capital Goods,Nifty India Manufacturing,Small Cap,No,21-Jun-23,Active
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,Capital Goods,Nifty India Manufacturing,Small Cap,No,20-Jan-24,Active
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,Textiles,Nifty India Consumption,Small Cap,No,12-Apr-07,Active
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,Capital Goods,Nifty India Manufacturing,Small Cap,No,21-Nov-03,Active
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,Information Technology,Nifty IT,Mid Cap,Yes,01-Jan-99,Active
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,Consumer Durables,Nifty Consumer Durables,Small Cap,No,01-Jan-95,Active
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,Construction,Nifty Infrastructure,Small Cap,No,18-Jul-00,Active
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,Consumer Durables,Nifty Consumer Durables,Mid Cap,Yes,26-Mar-21,Active
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,Banking,Nifty Bank,Small Cap,No,01-Jan-95,Active
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,22-Nov-22,Active
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,Construction,Nifty Infrastructure,Mid Cap,Yes,01-Jan-95,Active
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,Financial Services,Nifty Financial Services,Mid Cap,Yes,11-Jan-22,Active
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,Banking,Nifty Bank,Large Cap,Yes,20-Dec-95,Active
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,Healthcare Services,Nifty Healthcare Index,Small Cap,No,29-Jul-21,Active
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,Financial Services,Nifty Financial Services,Small Cap,No,12-Jul-11,Active
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,Information Technology,Nifty IT,Mid Cap,Yes,18-Jul-16,Active
LG Electronics India Ltd.,Consumer Durables,LGEINDIA,EQ,INE324D01010,Consumer Durables,Nifty Consumer Durables,Small Cap,No,14-Oct-24,Active
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Jan-95,Active
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,FMCG,Nifty FMCG,Small Cap,No,05-Nov-02,Active
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019,Information Technology,Nifty IT,Small Cap,No,11-Jul-16,Active
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,Construction,Nifty Infrastructure,Large Cap,Yes,01-Jan-94,Active
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,Information Technology,Nifty IT,Small Cap,No,23-Nov-21,Active
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,19-Apr-16,Active
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,Consumer Services,Nifty India Consumption,Small Cap,No,21-Mar-25,Active
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,Consumer Services,Nifty India Consumption,Small Cap,No,26-Mar-18,Active
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016,Consumer Services,Nifty India Consumption,Large Cap,No,10-Nov-25,Active
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,Insurance,Nifty Financial Services,Large Cap,Yes,17-May-22,Active
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-95,Active
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,Metals & Mining,Nifty Metal,Small Cap,No,01-Jan-17,Active
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,Real Estate,Nifty Realty,Large Cap,Yes,19-Apr-21,Active
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,01-Jan-00,Active
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,Services,Nifty Services Sector,Small Cap,No,01-Jan-03,Active
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-94,Active
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Mid Cap,Yes,01-Dec-03,Active
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,Financial Services,Nifty Financial Services,Mid Cap,Yes,10-Jan-02,Active
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,01-Jan-96,Active
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,Financial Services,Nifty Financial Services,Mid Cap,Yes,15-Jun-01,Active
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Small Cap,No,01-Jan-95,Active
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,09-May-23,Active
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,FMCG,Nifty FMCG,Large Cap,Yes,07-May-96,Active
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,09-Jul-03,Active
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,Insurance,Nifty Financial Services,Mid Cap,Yes,01-Jan-00,Active
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,Healthcare Services,Nifty Healthcare Index,Large Cap,Yes,07-Sep-21,Active
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,Capital Goods,Nifty India Manufacturing,Small Cap,No,30-Mar-23,Active
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015,Consumer Services,Nifty India Consumption,Large Cap,No,10-Dec-25,Active
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,Automobiles & Auto Components,Nifty Auto,Mid Cap,No,05-Jun-15,Active
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,25-May-21,Active
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-04,Active
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,Information Technology,Nifty IT,Large Cap,Yes,07-Jun-00,Active
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,Financial Services,Nifty Financial Services,Mid Cap,Yes,09-Mar-12,Active
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,Financial Services,Nifty Financial Services,Large Cap,Yes,06-May-11,Active
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,Pharmaceuticals,Nifty Pharma,Small Cap,No,01-Jan-96,Active
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,Construction,Nifty Infrastructure,Mid Cap,Yes,11-Apr-12,Active
NCC Ltd.,Construction,NCC,EQ,INE868B01028,Construction,Nifty Infrastructure,Mid Cap,No,01-Jan-94,Active
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,Power,Nifty Energy,Large Cap,Yes,01-Sep-09,Active
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,Power,Nifty Energy,Small Cap,No,15-Jul-11,Active
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,Metals & Mining,Nifty Metal,Mid Cap,Yes,03-Nov-98,Active
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,Metals & Mining,Nifty Metal,Small Cap,No,05-Aug-22,Active
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,Power,Nifty Energy,Large Cap,No,27-Nov-24,Active
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,Power,Nifty Energy,Large Cap,Yes,05-Nov-04,Active
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,Healthcare Services,Nifty Healthcare Index,Mid Cap,No,01-Jun-15,Active
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,Metals & Mining,Nifty Metal,Mid Cap,Yes,16-Mar-04,Active
Nava Ltd.,Power,NAVA,EQ,INE725A01030,Power,Nifty Energy,Small Cap,No,01-Jan-95,Active
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-95,Active
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,FMCG,Nifty FMCG,Large Cap,Yes,01-Jan-95,Active
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,Information Technology,Nifty IT,Small Cap,No,27-Jul-23,Active
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,Pharmaceuticals,Nifty Pharma,Mid Cap,No,01-Jan-95,Active
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,Information Technology,Nifty IT,Small Cap,No,04-Jan-18,Active
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,Financial Services,Nifty Financial Services,Mid Cap,Yes,22-Oct-04,Active
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,Insurance,Nifty Financial Services,Small Cap,No,14-Nov-24,Active
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,Financial Services,Nifty Financial Services,Mid Cap,No,19-Sep-23,Active
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,Construction Materials,Nifty Infrastructure,Small Cap,No,23-Aug-21,Active
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,Real Estate,Nifty Realty,Large Cap,Yes,20-Oct-10,Active
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,26-Aug-95,Active
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Small Cap,No,30-Sep-09,Active
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040,Automobiles & Auto Components,Nifty Auto,Small Cap,No,09-Aug-24,Active
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-00,Active
